key,en,ar
global_goals:1---short,빈곤퇴치,لا فقر
global_goals:1---title,모든 곳에서 모든 형태의 빈곤 종식,القضاء على الفقر بجميع أشكاله في كل مكان
global_goals:10---short,불평등 완화,انخفاض عدم المساواة
global_goals:10---title,국내 및 국가 간 불평등 감소,انخفاض عدم المساواة داخل وبين البلدان
global_goals:11---short,지속가능한 도시와 공동체,المدن والمجتمعات المستدامة
global_goals:11---title,포용적이고 안전하며 회복력 있고 지속가능한 도시와 주거지 조성,جعل المدن والمستوطنات البشرية شاملة وآمنة ومرنة ومستدامة
global_goals:12---short,책임감있는 소비와 생산,الاستهلاك والإنتاج المسؤول
global_goals:12---title,지속가능한 소비와 생산 양식의 보장,ضمان أنماط الاستهلاك والإنتاج المستدامة
global_goals:13---short,기후변화 대응,العمل المناخي
global_goals:13---title,기후변화와 그로 인한 영향에 맞서기 위한 긴급 대응,اتخاذ إجراءات عاجلة لمكافحة تغير المناخ وآثاره
global_goals:14---short,해양 생태계,الحياة تحت الماء
global_goals:14---title,"지속가능발전을 위한 대양, 바다, 해양자원의 보전과 지속가능한 이용",حفظ المحيطات والبحار والموارد البحرية واستخدامها على نحو مستدام لتحقيق التنمية المستدامة
global_goals:15---short,육상 생태계,الحياة على الأرض
global_goals:15---title,"육상생태계의 지속가능한 보호·복원·증진, 숲의 지속가능한 관리, 사막화 방지, 토지황폐화의 중지와 회복, 생물다양성 손실 중단",حماية وترميم وتشجيع الاستخدام المستدام للنظم الإيكولوجية الأرضية، وإدارة الغابات على نحو مستدام، وكافحة التصحر، ووقف تدهور الأراضي وعكس مساره ووقف فقدان التنوع البيولوجي
global_goals:16---short,"평화, 정의와 제도",السلام والعدالة - مؤسسات قوية
global_goals:16---title,"지속가능발전을 위한 평화롭고 포용적인 사회 증진, 모두에게 정의를 보장, 모든 수준에서 효과적이며 책임감 있고 포용적인 제도 구축",تعزيز المجتمعات السلمية والشاملة لتحقيق التنمية المستدامة، وتوفير إمكانية الوصول إالى العدالة للجميع وبناء مؤسسات فعالة وخاضعة للمساءلة وشاملة للجميع على جميع المستويات
global_goals:17---short,SDGs를 위한 파트너십,الشراكات من أجل الأهداف
global_goals:17---title,이행수단 강화와 지속가능발전을 위한 글로벌 파트너십의 활성화,تعزيز وسائل التنفيذ وتنشيط الشراكة العالمية من أجل التنمية المستدامة
global_goals:2---short,기아종식,القضاء على الجوع
global_goals:2---title,"기아 종식, 식량안보와 개선된 영양상태의 달성, 지속 가능항 농업 강화",القضاء على الجوع وتحقيق الأمن الغذائي وتحسين التغذية وتعزيز الزراعة المستدامة 
global_goals:3---short,건강과 웰빙,صحة جيدة ورفاه
global_goals:3---title,모든 연령층을 위한 건강한 삶 보장과 복지 증진,ضمان حياة صحية وتعزيز الرفاهية للجميع في جميع الأعمار
global_goals:4---short,양질의 교육,تعليم ذو جودة
global_goals:4---title,모두를 위한 포용적이고 공평한 양질의 교육 보장 및 평생학습 기회 증진,ضمان التعليم الجيد الشامل والمنصف وتعزيز فرص التعلم مدى الحياة للجميع
global_goals:5---short,양성평등,المساواة بين الجنسين
global_goals:5---title,성평등 달성과 모든 여성 및 여아의 권익신장,تحقيق المساواة بين الجنسين وتمكين جميع النساء والفتيات 
global_goals:6---short,물과 위생,المياه النظيفة والصرف الصحي
global_goals:6---title,모두를 위한 물과 위생의 이용가능성과 지속가능한 관리 보장,ضمان التوافر والإدارة المستدامة للمياه والصرف الصحي للجميع
global_goals:7---short,깨끗한 에너지,الطاقة النظيفة والمتوفرة بأسعار معقولة 
global_goals:7---title,적정한 가격에 신뢰할 수 있고 지속가능한 현대적인 에너지에 대한 접근 보장,ضمان الوصول إالى الطاقة الحديثة والموثوقة والمستدامة والحديثة للجميع
global_goals:8---short,양질의 일자리와 경제성장,وظائف لائقة والنمو الاقتصادي
global_goals:8---title,"포용적이고 지속가능한 경제성장, 완전하고 생산적인 고용과 모두를 위한 양질의 일자리 증진",تعزيز النمو الاقتصادي المستدام والشامل والعمالة الكاملة والمنتجة والعمل اللائق للجميع 
global_goals:9---short,"산업, 혁신과 사회기반시설",الصناعة والابتكار والهياكل الأساسية 
global_goals:9---title,"회복력 있는 사회기반시설 구축, 포용적이고 지속가능한 산업화 증진과 혁신 도모",بناء هياكل أساسية مرنة، وتعزيز التصنيع الشامل والمستدام وتعزيز الابتكار
general:facebook,Facebook,فيسبوك
general:goal,목표,هدف
general:goals,목표,اهداف
general:home,Home,الصفحة الرئيسية  (Home page)
general:indicator,지표,مؤشر
general:indicators,지표,مؤشرات
general:loading,검색 결과를 불러오고 있습니다.,تحميل نتائج البحث
general:opens_new_window,새 창에서 열기,تنفتح في نافذة جديدة
general:sdg,지속가능발전목표,اهداف التنمية المستدامة
general:target,세부목표,استهداف
general:targets,세부목표,أهداف
general:twitter,Twitter,تويتر
search:found_in,found in,موجود في
search:indicator_search,검색어를 입력해 주세요.,بحث المؤشر
search:keywords,키워드,الكلمات الدالة
search:no_results,검색 결과가 없습니다.,لا يوجد نتائج
search:search,검색,بحث
search:search_results_for,검색 결과,نتائج البحث عن
global_targets:1-1---title,2030년까지 1일 생계비 1.25 달러 미만으로 살고 있는 모든 인구를 모든 곳에서 종식,القضاء على الفقر المدقع للناس أجمعين أينما كانوا بحلول عام 2030، وهو يُقاس حالياً بعدد الأشخاص الذين يعيشون بأقل من 1.25 دولار في اليوم
