key,en,ru
metadata_fields:comments_limitations,비고,Другая информация
metadata_fields:computation_calculations,산식,Расчёты
metadata_fields:computation_definitions,정의,Определения
metadata_fields:computation_units,단위,Единица измерения
metadata_fields:goal_meta_link,UN 메타데이터 링크,Ссылка на метаданные ООН
metadata_fields:indicator,지표 번호,Номер показателя
metadata_fields:indicator_definition,지표 상세 설명,Описание глобального показателя
metadata_fields:indicator_name,지표명,Название показателя
metadata_fields:indicator_sort_order,지표 정렬 번호,Порядок отображения показателей (на странице целей)
metadata_fields:national_data_update_url,데이터 갱신 이력,Последний раз данные обновлялись
metadata_fields:national_geographical_coverage,지역적 범위,Географический охват
metadata_fields:national_indicator_available,지표 가용성,Показатель доступен
metadata_fields:national_indicator_description,지표 상세 설명,Описание показателя
metadata_fields:national_metadata_update_url,메타데이터 갱신 이력, Последний раз метаданные обновлялись
metadata_fields:source_contact_1,연락처,Контактные данные
metadata_fields:source_contact_2,연락처,Контактные данные
metadata_fields:source_contact_3,연락처,Контактные данные
metadata_fields:source_contact_4,연락처,Контактные данные
metadata_fields:source_contact_5,연락처,Контактные данные
metadata_fields:source_contact_6,연락처,Контактные данные
metadata_fields:source_earliest_available_1,최초 공표,Самые ранние доступные данные
metadata_fields:source_earliest_available_2,최초 공표,Самые ранние доступные данные
metadata_fields:source_earliest_available_3,최초 공표,Самые ранние доступные данные
metadata_fields:source_earliest_available_4,최초 공표,Самые ранние доступные данные
metadata_fields:source_earliest_available_5,최초 공표,Самые ранние доступные данные
metadata_fields:source_earliest_available_6,최초 공표,Самые ранние доступные данные
metadata_fields:source_geographical_coverage_1,지역적 범위,Географический охват
metadata_fields:source_geographical_coverage_2,지역적 범위,Географический охват
metadata_fields:source_geographical_coverage_3,지역적 범위,Географический охват
metadata_fields:source_geographical_coverage_4,지역적 범위,Географический охват
metadata_fields:source_geographical_coverage_5,지역적 범위,Географический охват
metadata_fields:source_geographical_coverage_6,지역적 범위,Географический охват
metadata_fields:source_next_release_1,다음 공표일,Следующий  выпуск
metadata_fields:source_next_release_2,다음 공표일,Следующий  выпуск
metadata_fields:source_next_release_3,다음 공표일,Следующий  выпуск
metadata_fields:source_next_release_4,다음 공표일,Следующий  выпуск
metadata_fields:source_next_release_5,다음 공표일,Следующий  выпуск
metadata_fields:source_next_release_6,다음 공표일,Следующий  выпуск
metadata_fields:source_organisation_1,작성기관,Организация
metadata_fields:source_organisation_2,작성기관,Организация
metadata_fields:source_organisation_3,작성기관,Организация
metadata_fields:source_organisation_4,작성기관,Организация
metadata_fields:source_organisation_5,작성기관,Организация
metadata_fields:source_organisation_6,작성기관,Организация
metadata_fields:source_other_info_1,비고,Другая информация
metadata_fields:source_other_info_2,비고,Другая информация
metadata_fields:source_other_info_3,비고,Другая информация
metadata_fields:source_other_info_4,비고,Другая информация
metadata_fields:source_other_info_5,비고,Другая информация
metadata_fields:source_other_info_6,비고,Другая информация
metadata_fields:source_periodicity_1,작성주기,Периодичность
metadata_fields:source_periodicity_2,작성주기,Периодичность
metadata_fields:source_periodicity_3,작성주기,Периодичность
metadata_fields:source_periodicity_4,작성주기,Периодичность
metadata_fields:source_periodicity_5,작성주기,Периодичность
metadata_fields:source_periodicity_6,작성주기,Периодичность
metadata_fields:source_release_date_1,공표일,Дата выпуска
metadata_fields:source_release_date_2,공표일,Дата выпуска
metadata_fields:source_release_date_3,공표일,Дата выпуска
metadata_fields:source_release_date_4,공표일,Дата выпуска
metadata_fields:source_release_date_5,공표일,Дата выпуска
metadata_fields:source_release_date_6,공표일,Дата выпуска
metadata_fields:source_statistical_classification_1,통계분류,Статистическая классификация
metadata_fields:source_statistical_classification_2,통계분류,Статистическая классификация
metadata_fields:source_statistical_classification_3,통계분류,Статистическая классификация
metadata_fields:source_statistical_classification_4,통계분류,Статистическая классификация
metadata_fields:source_statistical_classification_5,통계분류,Статистическая классификация
metadata_fields:source_statistical_classification_6,통계분류,Статистическая классификация
metadata_fields:source_url_1,출처 링크,Ссылка на источник данных
metadata_fields:source_url_2,출처 링크,Ссылка на источник данных
metadata_fields:source_url_3,출처 링크,Ссылка на источник данных
metadata_fields:source_url_4,출처 링크,Ссылка на источник данных
metadata_fields:source_url_5,출처 링크,Ссылка на источник данных
metadata_fields:source_url_6,출처 링크,Ссылка на источник данных
metadata_fields:target,세부목표명,Название задачи
metadata_fields:target_id,세부목표 번호,Номер задачи
metadata_fields:un_custodian_agency,소관 국제기구,Депозитарное учреждение ООН 
metadata_fields:un_designated_tier,티어(Tier),Назначенный ООН уровень
status:exploring_data_sources,작업중,В процессе разработки
status:not_applicable,Not applicable,Непригодный
status:overall_reporting_status,지표 작성 현황,Общее состояние отчётности
status:reported_online,이용가능,Опубликован
status:reporting_status,지표 현황,Статус отчётности
status:statistics_in_progress,Statistics in progress,Статистика в процессе выполнения
status:status_by_goal,목표별 현황,Статус по цели
general:facebook,Facebook,Facebook
general:goal,목표,Цель
general:goals,목표,Цели
general:home,Home,Главная
general:indicator,지표,Показатель
general:indicators,지표,Показатели
general:loading,검색 결과를 불러오고 있습니다.,Загрузка результатов поиска
general:opens_new_window,새 창에서 열기,открывается в новой вкладке
general:sdg,지속가능발전목표,Цели в области устойчивого развития
general:target,세부목표,Задача
general:targets,세부목표,Задачи
general:twitter,Twitter,Твиттеру
search:found_in,found in,найдено в
search:indicator_search,검색어를 입력해 주세요.,Поиск показателя
search:keywords,키워드,Ключевые слова
search:no_results,검색 결과가 없습니다.,Результатов не найдено
search:search,검색,Поиск
search:search_results_for,검색 결과,Результаты поиска по вашему запросу
menu:about,소개,О нас
menu:contact_us,Contact us,Свяжитесь с нами
menu:cookies,Cookies,Cookies
menu:faq,FAQ,Часто задаваемые вопросы
menu:guidance,매뉴얼,Руководство
menu:menu,메뉴,Меню
menu:publications,참고자료,Публикации
menu:reporting_status,지표 작성 현황,Состояние отчётности
post:posts_by_category,Posts by Category,Посты по категории
post:view_all_in_category,View all posts in the %category_name category,Просмотреть все посты в категории
global_targets:1-1---title,2030년까지 1일 생계비 1.25 달러 미만으로 살고 있는 모든 인구를 모든 곳에서 종식,"К 2030 году ликвидировать крайнюю нищету
для всех людей во всем мире (в настоящее время
крайняя нищета определяется как проживание на
сумму менее чем 1,25 долл. США в день)
"
global_targets:1-2---title,"각 국가 빈곤정의에 따라 2030년까지 모든 측면에서 빈곤 속에 사는 모든 연령층의 남성, 여성, 그리고 아동 비율을 최소 절반으로 감소","К 2030 году сократить долю мужчин, женщин
и детей всех возрастов, живущих  нищете во всех
ее проявлениях, согласно национальным определениям,
по крайней мере наполовину"
global_targets:1-3---title,"사회안전망을 포함하여 모두를 위해 국가별로 적합한 사회적 보호체제 및 조치를 이행하고, 2030년까지 빈곤층과 취약계층에 대한 실질적 보장을 달성","Внедрить на национальном уровне надлежащие
системы и меры социальной защиты для всех,
включая установление минимальных уровней, и к
2030 году достичь существенного охвата бедных и
уязвимых слоев населения"
global_targets:1-4---title,"2030년까지 모든 남성과 여성, 특히 빈곤층과 취약계층이 경제적 자원과  기본 서비스, 토지와 기타 형태의 재산에 대한 소유와 통제, 상속, 천연자원, 적정 신기술 및 소액금융을 포함한 금융서비스에 공평하게 접근할 수 있는 권리 보장","К 2030 году обеспечить, чтобы все мужчины и
женщины, особенно малоимущие и уязвимые, имели
равные права на экономические ресурсы, а также
доступ к базовым услугам, владению и распоряжению
землей и другими формами собственности,
наследуемому имуществу, природным ресурсам, соответствующим
новым технологиям и финансовым
услугам, включая микрофинансирование"
global_targets:1-5---title,"2030년까지 빈곤층과 취약계층의 회복력을 키우고,  기후 관련 극한 상황 혹은 기타 경제적, 사회적, 환경적인 충격과 재난에 대한 노출 및 취약성을 감소","К 2030 году повысить жизнестойкость малоимущих
и лиц, находящихся в уязвимом положении,
и уменьшить их незащищенность и уязвимость перед
вызванными изменением климата экстремальными
явлениями и другими экономическими, социальными
и экологическими потрясениями и бедствиями"
global_targets:1-a---title,"개도국 특히, 최빈국이 모든 차원의 빈곤 퇴치 프로그램과 정책 제공을 위해  증강된 개발협력 을 포함하여 다양한 재원 동원 보장","Обеспечить мобилизацию значительных ресурсов
из самых разных источников, в том числе на
основе активизации сотрудничества в целях развития,
с тем чтобы предоставить развивающимся странам,
особенно наименее развитым странам, достаточные
и предсказуемые средства для осуществления
программ и стратегий по ликвидации нищеты во
всех ее формах
"
global_targets:1-b---title,"빈곤퇴치 활동에 대한 투자를 촉진하기 위해 빈곤층 친화적이고 성 인지적 재발전략을 기초로 한 국가, 지역, 글로벌 차원의 탄탄한 정책 프레임워크 수립","Создать на национальном, региональном и
международном уровнях надежные стратегические
механизмы, в основе которых лежали бы стратегии
развития, учитывающие интересы бедноты и гендерные
аспекты, для содействия ускоренному инвестированию
в мероприятия по ликвидации нищеты"
global_targets:10-1---title,2030년까지 소득하위 40%의 소득성장률을 점진적으로 국가평균보다 높게 달성 및 유지,"К 2030 году постепенно достичь и поддерживать
рост доходов наименее обеспеченных 40 процентов
населения на уровне, превышающем средний
по стране"
global_targets:10-2---title,"2030년까지 연령, 성, 장애, 인종, 종교, 기타 사회경제적 지위를 막론하고 사회, 경제, 정치적 참여 권한 확대 및 촉진"," К 2030 году поддержать законодательным путем
и поощрять активное участие всех людей в социальной,
экономической и политической жизни
независимо от их возраста, пола, инвалидности,
расы, этнической принадлежности, происхождения,
религии и экономического или иного статуса"
global_targets:10-3---title,"차별적인 법, 정책 및 관행 등을 철폐하여 동등한 기회를 보장하고 소득 불평등 감소","Обеспечить равенство возможностей и уменьшить
неравенство результатов, в том числе путем
отмены дискриминационных законов, политики и
практики и содействия принятию соответствующего
законодательства, политики и мер в этом направлении"
global_targets:10-4---title,"재정정책, 임금정책, 사회보장정책 등을 채택하고 점진적으로 더 나은 평등을 달성","Принять соответствующую политику, особенно
бюджетно-налоговую политику и политику в
вопросах заработной платы и социальной защиты, и
постепенно добиваться обеспечения большего равенства"
global_targets:10-5---title,글로벌 금융시장 및 기관의 규제 및 모니터링 개선 및 이행조치 강화,"Совершенствовать методы регулирования и
мониторинга глобальных финансовых рынков и
учреждений и более последовательно применять такие
методы"
global_targets:10-6---title,글로벌 국제경제 및 금융기관의 의사결정과정에서 개발도상국가의 입장이 반영되도록 강화,"Обеспечить большую представленность и большее
право голоса развивающихся стран в процессах
принятия решений в глобальных международных экономических
и финансовых учреждениях, с тем чтобы
сделать эти учреждения более эффективными, авторитетными,
подотчетными и легитимными"
global_targets:10-7---title,"안전하고, 정기적이고, 책임 있는 인구의 이주 및 이동이 가능토록하고 잘 관리된 이민정책 수립 및 이행","Содействовать упорядоченной, безопасной, законной
и ответственной миграции и мобильности
людей, в том числе с помощью проведения спланированной
и хорошо продуманной миграционной политики"
global_targets:10-a---title,"WTO협약에 따른 개발도상국(특히, 최빈개도국) 특별대우 규정 이행","Проводить в жизнь принцип особого и дифференцированного
режима для развивающихся стран,
особенно наименее развитых стран, в соответствии
с соглашениями Всемирной торговой организации"
global_targets:10-b---title,"도움이 필요한 국가에(최빈개도국, 아프리카 국가, 군서도서개발국) ODA, 재원 지원, 직접투자 권장","Поощрять выделение официальной помощи в
целях развития и финансовые потоки, в том числе
прямые иностранные инвестиции, в наиболее нуждающиеся
государства, особенно в наименее развитые
страны, африканские страны, малые островные
развивающиеся государства и развивающиеся
страны, не имеющие выхода к морю, в соответствии
с их национальными планами и программами"
global_targets:10-c---title,2030년까지 이민자송금 수수료 3% 이하로 감소 및 5%를 초과하는 송금 장벽 제거,"К 2030 году сократить операционные затраты,
связанные с переводом мигрантами денежных
средств, до менее 3 процентов от суммы перевода и
ликвидировать каналы денежных переводов, у которых
эти затраты превышают 5 процентов"
global_targets:11-1---title,2030년까지 모두에게 충분하고 안전 및 저렴한 주택 및 기본서비스 제공 그리고 빈민가 개선,"К 2030 году обеспечить всеобщий доступ к достаточному,
безопасному и недорогому жилью и основным
услугам и благоустроить трущобы
"
global_targets:11-2---title,"2030년까지 모두에게(특히, 취약계층, 여성, 아동, 노인, 장애인) 안전 및 저렴하고 지속가능한 공공 교통시스템 제공","К 2030 году обеспечить, чтобы все могли
пользоваться безопасными, недорогими, доступными
и экологически устойчивыми транспортными
системами, на основе повышения безопасности дорожного
движения, в частности расширения использования
общественного транспорта, уделяя особое
внимание нуждам тех, кто находится в уязвимом положении,
женщин, детей, инвалидов и пожилых лиц"
