key,en,zh-Hans
indicator:chart,그래프,图表
indicator:clear_all,모두 취소,全部清除
indicator:clear_selections,초기화,清除选项
indicator:dataset_size_warning,너무 많은 항목이 선택되었습니다. 선택을 취소해 주시기 바랍니다.,由于图表上显示的数据集过多，请删除一些选项来以便展示。
indicator:download_chart,그래프 CSV 내려받기,下载CSV格式的图表
indicator:download_chart_image,그래프 이미지 내려받기,下载图表图像
indicator:download_chart_image_title,그래프 이미지 내려받기,下载图表作为图像
indicator:download_csv,CSV 내려받기,下载CSV
indicator:download_csv_title,CSV 내려받기,下载为CSV格式
indicator:download_headline,Download Headline CSV,下载CSV格式的标题
indicator:download_headline_title,Download headline data as CSV,下载为CSV格式的标题数据
indicator:download_source,출처 CSV 내려받기,下载CSV格式的来源
indicator:download_source_title,출처 CSV 내려받기,下载为CSV格式的资源数据
indicator:download_table,표 CSV 내려받기,下载CSV格式的表格
indicator:edit,자료 수정,编辑
indicator:edit_data,데이터 수정,编辑数据
indicator:edit_metadata,메타데이터 수정,编辑元数据
indicator:footnote,주석,脚注
indicator:geographical_area,지역,地理区域
indicator:global_metadata,UN 메타데이터,全球元数据
indicator:global_metadata_blurb,,此表格提供的资料是由联合国统计委员会所界定的可持续发展目标指标的元数据。完整的全球元数据是由联合国统计司提供的。
indicator:legend_help,범례의 개별 항목을 클릭하면 해당 항목을 그래프에서 삭제하실 수 있습니다.,点击图例来移除图表中的线条。
indicator:loading_map,지도를 불어오고 있습니다.,载入地图
indicator:map,지도,地图
indicator:national_metadata,통계설명자료,国家元数据
indicator:national_metadata_blurb,,此表格所提供的真正指标中的元数据可从接近相对的全球可持续发展目标指标的国家统计数据获得。请注意：全球可持续发展目标指标完全可从国家统计数据获得，此表格资料皆只用作参阅国家方法论及其他国家的元数据用途。
indicator:no_data_hint,No options available because of filters above,由于上述筛选的限制，因此没有可用的选项
indicator:select_all,모두 선택,全选
indicator:series_help,상세한 정보를 원하시는 세부 항목을 아래에서 선택해 주시기 바랍니다.,从下面的下拉式菜单中选择分类查询不同的数据分析。部分分析需要选择更高的级别才会开放。
indicator:source,출처,来源
indicator:sources,출처 정보,来源
indicator:sub_categories,세부 항목,子分类
indicator:table,표,表格
indicator:unit_of_measurement,단위,计量单位
indicator:units_type,Units type,单位类型
indicator:variable_hint,먼저 '%field' 항목을 선택해 주시기 바랍니다.,点击以便显示內容
indicator:view_indicator_list,View this goal's indicator list,查看此目标的指标清单
search:found_in,found in,找到
search:indicator_search,검색어를 입력해 주시기 바랍니다.,指标搜索
search:keywords,키워드,关键字
search:no_results,검색 결과가 없습니다.,无搜索结果
search:search,검색,搜索
search:search_results_for,검색 결과,搜索结果
metadata_fields:comments_limitations,비고,其他资料
metadata_fields:computation_calculations,계산방법,计算
metadata_fields:computation_definitions,정의,定义
metadata_fields:computation_units,단위,计量单位
metadata_fields:goal_meta_link,UN 메타데이터,连接到联合国元数据
metadata_fields:indicator,지표 번호,指标数字
metadata_fields:indicator_definition,지표 상세 설명,全球指标描述
metadata_fields:indicator_name,지표명,指标名称
metadata_fields:indicator_sort_order,지표 정렬 번호,指标显示顺序（在目标页面内）
metadata_fields:national_data_update_url,데이터 갱신 이력,数据最后更新时间
metadata_fields:national_geographical_coverage,지역적 범위,地域覆盖范围
metadata_fields:national_indicator_available,지표 가용성,可用指标
metadata_fields:national_indicator_description,지표 상세 설명,指标描述
metadata_fields:national_metadata_update_url,메타데이터 갱신 이력,元数据最后更新时间
metadata_fields:source_contact_1,연락처,联系方式
metadata_fields:source_contact_2,연락처,联系方式
metadata_fields:source_contact_3,연락처,联系方式
metadata_fields:source_contact_4,연락처,联系方式
metadata_fields:source_contact_5,연락처,联系方式
metadata_fields:source_contact_6,연락처,联系方式
metadata_fields:source_earliest_available_1,최초 공표,最早可供使用数据
metadata_fields:source_earliest_available_2,최초 공표,最早可供使用数据
metadata_fields:source_earliest_available_3,최초 공표,最早可供使用数据
metadata_fields:source_earliest_available_4,최초 공표,最早可供使用数据
metadata_fields:source_earliest_available_5,최초 공표,最早可供使用数据
metadata_fields:source_earliest_available_6,최초 공표,最早可供使用数据
metadata_fields:source_geographical_coverage_1,지역적 범위,地域覆盖范围
metadata_fields:source_geographical_coverage_2,지역적 범위,地域覆盖范围
metadata_fields:source_geographical_coverage_3,지역적 범위,地域覆盖范围
metadata_fields:source_geographical_coverage_4,지역적 범위,地域覆盖范围
metadata_fields:source_geographical_coverage_5,지역적 범위,地域覆盖范围
metadata_fields:source_geographical_coverage_6,지역적 범위,地域覆盖范围
metadata_fields:source_next_release_1,다음 공표,新发布
metadata_fields:source_next_release_2,다음 공표,新发布
metadata_fields:source_next_release_3,다음 공표,新发布
metadata_fields:source_next_release_4,다음 공표,新发布
metadata_fields:source_next_release_5,다음 공표,新发布
metadata_fields:source_next_release_6,다음 공표,新发布
metadata_fields:source_organisation_1,작성기관,机构
metadata_fields:source_organisation_2,작성기관,机构
metadata_fields:source_organisation_3,작성기관,机构
metadata_fields:source_organisation_4,작성기관,机构
