key,en,am
status:exploring_data_sources,작업중,Ուսումնասիրել տվյալների աղբյուրները 
status:not_applicable,Not applicable,ոչ կիրառելի
status:overall_reporting_status,총괄 현황 -,Ընդհանուր հաշվետվության կարգավիճակը
status:reported_online,이용가능,Առցանց հաշվետվություն 
status:reporting_status,지표 현황,Հաշվետվության կարգավիճակը 
status:statistics_in_progress,Statistics in progress,Վիճակագրությունը ընթացքում է
status:status_by_goal,목표별 현황,Գոլի կարգավիճակ
menu:about,개요,Վերաբերյալ
menu:contact_us,Contact us,Կապ մեզ հետ
menu:cookies,Cookies,Քուկիներ 
menu:faq,FAQ,ՀՏՀ
menu:guidance,매뉴얼,Ուղեցույց
menu:menu,메뉴,Ցանկ
menu:publications,간행물,Հրապարակումներ
menu:reporting_status,지표현황,Հաշվետվության կարգավիճակը 
menu:updates,업데이트,
header:alpha,Alpha,Ալֆա
header:default_contrast,Default contrast,լռելյայն հակադրություն
header:disable_high_contrast,Disable high contrast,Անջատեք բարձր հակադրություն
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.","Սա մշակման վեբ կայք է: Մենք ողջունում ենք ձեր <a href=""mailto:%email_address""> հետադարձ կապը  "
header:enable_high_contrast,Enable high contrast,Միացնել բարձր հակադրություն
header:high_contrast,High contrast,բարձր հակադրություն
header:skip_link,Skip to main content,Անցեք հիմնական բովանդակությանը 
header:tag_line,17 Goals to Transform our World,17 նպատակներ մեր աշխարհը փոխակերպելու համար
search:found_in,found in,Գտնված է
search:indicator_search,검색어를 입력해 주시기 바랍니다.,Ցուցանիշների որոնում
search:keywords,키워드,Հիմնաբառեր
search:no_results,검색 결과가 없습니다.,Արդյունքներ չկան
search:search,검색,Որոնում
search:search_results_for,검색 결과,Որոնման արդյունքներ
post:posts_by_category,Posts by Category,Գրառումներ ըստ կատեգորիաների  
post:view_all_in_category,View all posts in the %category_name category,Տեսնել բոլոր գրառումները %category_name category
general:facebook,Facebook,Ֆեյսբուք
general:goal,목표,Նպատակը
general:goals,목표,Նպատակները
general:home,Home,Գլխավոր էջ
general:indicator,지표,Ցուցանիշ
general:indicators,개 지표,Ցուցանիշներ
general:loading,검색 결과를 불러오고 있습니다.,Որոնման արդյունքները բեռնվում են 
general:opens_new_window,새 창에서 열기,Բացվում է նոր պատուհանում
general:sdg,지속가능발전목표,Կայուն զարգացման նպատակներ
general:target,세부목표,Թիրախը
general:targets,세부목표,Թիրախներ
general:twitter,Twitter,Թվիթերի
